                                                                                
                                                                                
     X   0.00000, 0.24894,-0.22023,-0.00959, 1.19813,-0.65634, 0.00025, 09650850
     X   0.04576, 0.06937,-0.07104, 0.00230, 0.00416, 0.00325,-0.00649, 09650860
     X   0.00034, 0.00030, 0.63802,-0.36408, 0.09329, 1.80705,-1.05667/ 09650870
      COMMON/LTABLE/T2(70)                                              09650880
      DATA T2/                                                          09650890
     X  -0.06790, 0.06712, 0.14752,-0.17298,-0.00749, 0.01392, 0.00901, 09650900
     X  -0.02366,-0.00039, 0.00236, 0.10024, 0.01750, 0.75507,-0.63022, 09650910
     X  -0.35006,-0.26455,-0.11305,-0.09019,-0.11161, 0.01781, 0.01319, 09650920
     X  -0.00080, 0.01133, 0.00043, 0.00158, 0.22988, 0.11984, 0.60626, 09650930
     X  -0.67911,-0.12372,-0.19479,-0.11873,-0.03066,-0.06522, 0.01271, 09650940
     X   0.00971, 0.00023, 0.00505,-0.00038, 0.00072, 0.22034, 0.18721, 09650950
     X   0.44564,-0.59223, 0.02327,-0.13249,-0.09396,-0.00718,-0.03892, 09650960
     X   0.00834, 0.00541, 0.00032, 0.00213,-0.00034, 0.00033, 0.14049, 09650970
     X   0.20858, 0.29406,-0.41681, 0.08727,-0.07593,-0.05607,-0.00176, 09650980
     X  -0.02139, 0.00438, 0.00199, 0.00036, 0.00078,-0.00015, 0.00015/ 09650990
      COMMON/LTABLE/T3(70)                                              09651000
      DATA T3/                                                          09651010
     X   0.05330, 0.19656, 0.17426,-0.16847, 0.06638,-0.02459,-0.01820, 09651020
     X   0.00015,-0.00757, 0.00166, 0.00043, 0.00025, 0.00024,-0.00003, 09651030
     X   0.00008,-0.01989, 0.12961, 0.05769, 0.13797,-0.02191, 0.02296, 09651040
     X   0.01562, 0.00747, 0.00237, 0.00149, 0.00055, 0.00046, 0.00047, 09651050
     X   0.00002, 0.00008,-0.05769, 0.00808,-0.04503, 0.44667,-0.15565, 09651060
     X   0.06064, 0.04714, 0.02634, 0.00409, 0.00412, 0.00149, 0.00161, 09651070
     X   0.00099, 0.00016, 0.00019,-0.01088,-0.13776,-0.06516, 0.77730, 09651080
     X  -0.35008, 0.07914, 0.07900, 0.06219,-0.00848, 0.00806, 0.00329, 09651090
     X   0.00486, 0.00034, 0.00063, 0.00034, 0.14532,-0.32065, 0.02850, 09651100
     X   1.17638,-0.62210, 0.06339, 0.11486, 0.12681,-0.04900, 0.00971/ 09651110
      COMMON/LTABLE/T4(70)                                              09651120
      DATA T4/                                                          09651130
     X   0.00822, 0.01313,-0.00544, 0.00124, 0.00087, 0.43021,-0.57373, 09651140
     X   0.24817, 1.70859,-1.00143,-0.00687, 0.16776, 0.24214,-0.13848, 09651150
     X  -0.00239, 0.02234, 0.03382,-0.02616, 0.00032, 0.00433, 0.36400, 09651160
     X   0.32034, 1.04141,-0.93138,-0.02568,-0.29322,-0.22571,-0.05565, 09651170
     X  -0.14960, 0.02916, 0.01748,-0.00308, 0.01033,-0.00240, 0.00275, 09651180
     X  -0.00068, 0.00084, 0.00032,-0.00034, 0.00011, 0.29160, 0.39358, 09651190
     X   0.74102,-0.73259, 0.10352,-0.20795,-0.16793,-0.02242,-0.09224, 09651200
     X   0.01952, 0.01153, 0.00016, 0.00419,-0.00140, 0.00176,-0.00033, 09651210
     X   0.00045, 0.00006,-0.00015, 0.00004, 0.16735, 0.39321, 0.47479, 09651220
     X  -0.48438, 0.14991,-0.12515,-0.09758,-0.01200,-0.05152, 0.01177/ 09651230
      COMMON/LTABLE/T5(70)                                              09651240
      DATA T5/                                                          09651250
     X   0.00458, 0.00169, 0.00170,-0.00054, 0.00120,-0.00017, 0.00030, 09651260
     X  -0.00001,-0.00007, 0.00000, 0.05071, 0.34207, 0.26959,-0.19732, 09651270
     X   0.11509,-0.04118,-0.03145,-0.00233,-0.01872, 0.00619, 0.00133, 09651280
     X   0.00180, 0.00125,-0.00006, 0.00070,-0.00008, 0.00027,-0.00003, 09651290
     X   0.00003, 0.00000,-0.04449, 0.23571, 0.09339, 0.11453, 0.02396, 09651300
     X   0.04090, 0.02690, 0.01645, 0.00825, 0.00562, 0.00183, 0.00258, 09651310
     X   0.00316, 0.00013, 0.00088, 0.00005, 0.00031,-0.00001, 0.00010, 09651320
     X  -0.00003,-0.10583, 0.07190,-0.05808, 0.42797,-0.11017, 0.11382, 09651330
     X   0.08284, 0.04977, 0.02646, 0.01021, 0.00440, 0.00583, 0.00713, 09651340
     X   0.00016, 0.00165, 0.00024, 0.00048, 0.00001, 0.00020,-0.00005/ 09651350
      COMMON/LTABLE/T6(70)                                              09651360
      DATA T6/                                                          09651370
     X  -0.09027,-0.12845,-0.10947, 0.74505,-0.30303, 0.16464, 0.13940, 09651380
     X   0.10365, 0.03125, 0.01545, 0.00802, 0.01305, 0.00949, 0.00095, 09651390
     X   0.00280, 0.00072, 0.00067, 0.00008, 0.00008, 0.00013, 0.01240, 09651400
     X  -0.37749,-0.02399, 1.10492,-0.58000, 0.18227, 0.20113, 0.19094, 09651410
     X   0.00878, 0.01859, 0.01435, 0.03084, 0.00588, 0.00241, 0.00526, 09651420
     X   0.00256,-0.00008, 0.00021,-0.00015, 0.00069, 0.38791, 0.62482, 09651430
     X   1.03601,-0.86922, 0.19411,-0.28026,-0.25965,-0.03402,-0.15924, 09651440
     X   0.03750, 0.02265,-0.00171, 0.00405,-0.00413, 0.00604,-0.00101, 09651450
     X   0.00310, 0.00003,-0.00057,-0.00008, 0.20009, 0.59397, 0.64392, 09651460
     X  -0.54170, 0.22791,-0.17641,-0.14604,-0.02519,-0.09106, 0.02512/ 09651470
      COMMON/LTABLE/T7(70)                                              09651480
      DATA T7/                                                          09651490
     X   0.00905, 0.00538, 0.00170,-0.00120, 0.00496,-0.00061, 0.00239, 09651500
     X  -0.00032,-0.00018,-0.00010, 0.04019, 0.49768, 0.34195,-0.22296, 09651510
     X   0.18478,-0.05997,-0.04658,-0.00781,-0.03359, 0.01627, 0.00269, 09651520
     X   0.00733, 0.00395, 0.00023, 0.00379,-0.00017, 0.00190,-0.00032, 09651530
     X   0.00024,-0.00016,-0.08678, 0.34649, 0.09270, 0.09048, 0.09161, 09651540
     X   0.05967, 0.03872, 0.02630, 0.01562, 0.01620, 0.00400, 0.00985, 09651550
     X   0.01209, 0.00051, 0.00432, 0.00046, 0.00205,-0.00024, 0.00104, 09651560
     X  -0.00040,-0.17758, 0.13933,-0.11873, 0.39901,-0.04514, 0.17551, 09651570
     X   0.12209, 0.07952, 0.05614, 0.02570, 0.00991, 0.01724, 0.02681, 09651580
     X  -0.00039, 0.00774, 0.00082, 0.00293,-0.00023, 0.00217,-0.00081/ 09651590
      COMMON/LTABLE/T8(70)                                              09651600
      DATA T8/                                                          09651610
     X  -0.20286,-0.11694,-0.22877, 0.69828,-0.24775, 0.27249, 0.20803, 09651620
     X   0.15526, 0.08083, 0.04033, 0.01465, 0.03391, 0.04286,-0.00057, 09651630
     X   0.01376, 0.00226, 0.00390, 0.00065, 0.00407,-0.00178, 0.23103, 09651640
     X   0.81652, 0.79769,-0.57696, 0.32140,-0.23673,-0.20456,-0.04003, 09651650
     X  -0.13349, 0.04936, 0.01652, 0.01456,-0.00157,-0.00232, 0.01630, 09651660
     X  -0.00101, 0.01006,-0.00161,-0.00042,-0.00077, 0.00028, 0.00072, 09651670
     X  -0.00007, 0.00014, 0.00002,-0.00001, 0.00026, 0.00002, 0.00004, 09651680
     X  -0.00009, 0.01622, 0.66550, 0.38155,-0.23079, 0.27522,-0.08609, 09651690
     X  -0.06524,-0.01933,-0.05086, 0.03522, 0.00445, 0.02225, 0.00890, 09651700
     X   0.00239, 0.01322, 0.00047, 0.00874,-0.00155, 0.00181,-0.00094/ 09651710
      COMMON/LTABLE/T9(70)                                              09651720
      DATA T9/                                                          09651730
     X   0.00055, 0.00030, 0.00017,-0.00001, 0.00029,-0.00014, 0.00016, 09651740
     X   0.00003, 0.00013,-0.00012,-0.14936, 0.46387, 0.04774, 0.07938, 09651750
     X   0.18195, 0.07571, 0.04969, 0.03289, 0.02229, 0.03780, 0.00667, 09651760
     X   0.02865, 0.03156, 0.00408, 0.01405, 0.00339, 0.00971,-0.00073, 09651770
     X   0.00568,-0.00139, 0.00230, 0.00005, 0.00112,-0.00036, 0.00124, 09651780
     X  -0.00059, 0.00060,-0.00038, 0.00032,-0.00034,-0.27652, 0.20043, 09651790
     X  -0.23281, 0.35889, 0.04113, 0.22955, 0.15155, 0.11040, 0.07387, 09651800
     X   0.05923, 0.01171, 0.04304, 0.06314, 0.00611, 0.01683, 0.01037, 09651810
     X   0.01176, 0.00180, 0.01154,-0.00158, 0.00528, 0.00048, 0.00268, 09651820
     X  -0.00051, 0.00297,-0.00100, 0.00145,-0.00047, 0.00098,-0.00072/ 09651830
      END                                                               09651840
      BLOCK DATA                                                        09651850
      COMMON/LTABLE/NAME,TIME,PX(4),PY(4)                               09651860
      DOUBLE PRECISION NAME                                             09651870
      DATA NAME/8HGSFC0965/                                             09651880
