    0.18666658D 01   -0.12780652D 03   -0.42534331D 02    0.20018718D 04    0.19801514D 00    0.20406785D 01
    0.18999996D 01   -0.12830787D 03   -0.36865981D 02    0.20002104D 04    0.18602739D 00    0.18005260D 01
    0.19333324D 01   -0.12880923D 03   -0.31195944D 02    0.19986302D 04    0.17410738D 00    0.16247664D 01
    0.19666662D 01   -0.12931059D 03   -0.25524341D 02    0.19971973D 04    0.16287811D 00    0.14958833D 01
    0.19999990D 01   -0.12981195D 03   -0.19851355D 02    0.19959716D 04    0.15308953D 00    0.14053259D 01
    0.20333328D 01   -0.13031331D 03   -0.14177229D 02    0.19950043D 04    0.14558162D 00    0.13455833D 01
    0.20666666D 01   -0.13081467D 03   -0.85022542D 01    0.19943358D 04    0.14116361D 00    0.13128446D 01
    0.20999994D 01   -0.13131603D 03   -0.28267555D 01    0.19939939D 04    0.14041342D 00    0.13054303D 01
    0.21333332D 01   -0.13181740D 03    0.28489202D 01    0.19939929D 04    0.14348518D 00    0.13231535D 01
    0.21666660D 01   -0.13231877D 03    0.85244188D 01    0.19943328D 04    0.15005733D 00    0.13672847D 01
    0.21999998D 01   -0.13282014D 03    0.14199394D 02    0.19949995D 04    0.15946023D 00    0.14412881D 01
    0.22333326D 01   -0.13332151D 03    0.19873520D 02    0.19959651D 04    0.17088084D 00    0.15519720D 01
    0.22666664D 01   -0.13382288D 03    0.25546508D 02    0.19971891D 04    0.18352032D 00    0.17087897D 01
    0.22999992D 01   -0.13432426D 03    0.31218116D 02    0.19986204D 04    0.19666380D 00    0.19275483D 01
    0.23333330D 01   -0.13482565D 03    0.36888159D 02    0.20001992D 04    0.20968931D 00    0.22347530D 01
    0.23666658D 01   -0.13532703D 03    0.42556519D 02    0.20018593D 04    0.22205769D 00    0.26737779D 01
    0.23999996D 01   -0.13582843D 03    0.48223149D 02    0.20035310D 04    0.23331050D 00    0.33205319D 01
    0.24333324D 01   -0.13632983D 03    0.53888076D 02    0.20051436D 04    0.24308404D 00    0.43170960D 01
