 146       4.0
HEELIS POTENTIAL (KV)   0.0   0.0   0.0   0.0                ----------------
     0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
     0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
     0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
     0.0   -1.2   -2.4   -4.0   -6.0   -8.3  -10.9  -13.6  -15.9  -17.2  -17.3  -15.8  -13.5  -11.5   -9.9
    -8.5   -7.3   -6.3   -5.5   -4.8   -4.2   -3.7   -3.2   -2.8   -2.5   -2.2   -2.0   -1.7   -1.5   -1.4
    -1.2   -1.1   -1.0   -0.9   -0.8   -0.7   -0.7   -0.6   -0.5   -0.5   -0.5
     0.0   -2.2   -4.5   -7.5  -10.9  -14.7  -18.7  -22.7  -26.1  -28.1  -28.4  -26.6  -22.7  -19.3  -16.4
   -14.1  -12.2  -10.6   -9.3   -8.2   -7.2   -6.4   -5.7   -5.0   -4.5   -4.0   -3.6   -3.2   -2.9   -2.6
    -2.3   -2.1   -1.9   -1.7   -1.6   -1.4   -1.3   -1.2   -1.1   -1.0   -1.0
     0.0   -3.0   -6.1   -9.9  -13.9  -18.1  -21.9  -25.1  -27.6  -29.4  -30.0  -29.1  -26.0  -21.9  -18.6
   -15.9  -13.7  -12.0  -10.5   -9.2   -8.2   -7.3   -6.5   -5.9   -5.3   -4.8   -4.4   -4.0   -3.7   -3.4
    -3.1   -2.8   -2.6   -2.4   -2.2   -2.0   -1.8   -1.7   -1.6   -1.4   -1.4
     0.0   -3.5   -7.0  -11.0  -15.0  -18.6  -21.1  -23.4  -25.8  -28.2  -29.6  -30.0  -28.7  -25.3  -21.3
   -18.2  -15.6  -13.5  -11.8  -10.3   -9.1   -8.1   -7.2   -6.5   -5.8   -5.3   -4.8   -4.4   -4.0   -3.7
    -3.4   -3.1   -2.9   -2.7   -2.5   -2.3   -2.2   -2.1   -1.9   -1.8   -1.8
     0.0   -3.7   -7.4  -11.2  -14.6  -17.2  -19.2  -21.3  -23.5  -25.8  -28.1  -29.6  -30.0  -28.8  -25.6
   -21.6  -18.4  -15.8  -13.7  -11.9  -10.5   -9.3   -8.2   -7.3   -6.6   -5.9   -5.4   -4.9   -4.4   -4.1
    -3.7   -3.4   -3.2   -2.9   -2.7   -2.5   -2.4   -2.2   -2.1   -2.0   -2.0
