// @(#)GEOTAIL_SURVEY.UCB.sparhawk.Regions.dat	1.2, 02/11/96
// Geotail Region Identification
   V 2.01               Coverage = 92 DOY 275 0000 through 94 DOY 060 0202
| Abbr  Description
| ----- -----------------------------------------------------------------------
| BL    Boundary Layer: mantle here; high B(>5g), +Bx(>4g), low dB, no EM waves
| BS    Bow Shock
| Cal   Calibration period
| d(cs) distance to current sheet
| FF    Fast Flow event
| FR    Flow Reversal
| LB    Lobe: mostly < 1 keV ions
| MG    Magnetosphere: ions > 1-5 keV, 1-10 keV electrons (e-)
| MS    Magnetosheath: low B (<5g), -Bx, high dB, EM waves, 1+ keV ions
| PS    Plasma Sheet: 100 eV+ ions, < ~1 keV electrons (e-)
| RF    Reduced Flow (sec p. 3)
| Rot   B rotation without boundary in plasma
| RTO   Repeated Transient Observations
| SW    Solar Wind
| Gap   No ID available due to a Gap in the data record
| ?     Unknown
| No_ID No ID characterizes the period

    Start          End
  Date/Time     Date/Time    Region      Notes
--------------------------------------------------
 92-283 1845 - 92-284 1030   MS         MS hotter, higher E(V)?
 92-284 1030 - 92-284 1121   Gap
 92-284 1121 - 92-286 0130   MS
 92-286 0130 - 92-286 0650   Gap
 92-286 0650 - 92-286 1145   MS
 92-286 1145 - 92-286 1301   Cal
 92-286 1301 - 92-286 1909   Gap
 92-286 1915 - 92-287 0725   MS
 92-287 0730 - 92-287 0745   Gap
 92-287 0750 - 92-288 1330   MS
 92-288 1330 - 92-288 1530   Gap
 92-288 1530 - 92-288 2045   MS
 92-288 2055 - 92-288 2100   SW?        brief SW?
 92-288 2105 - 92-288 2245   MS
 92-288 2250 - 92-288 2255   SW?
 92-288 2300 - 92-289 0010   MS
 92-289 0015 - 92-289 0055   MS/SW      No B data for 0010-0015
 92-289 0100 - 92-289 0510   MS
 92-289 0512 - 92-289 0535   SW/MS
 92-289 0538 - 92-289 0750   MS
 92-289 0755 - 92-289 0835   SW/MS
 92-289 0840 - 92-289 1400   MS
 92-289 1400 - 92-289 1620   SW/MS
 92-289 1625 - 92-289 1650   SW
 92-289 1650 - 92-289 1755   SW/MS
 92-289 1800 - 92-289 2100   SW
 92-289 2100 - 92-289 2120   SW/MS
 92-289 2123 - 92-289 2137   MS
 92-289 2138 - 92-289 2145   SW/BS
 92-289 2145 - 92-289 2210   MS
 92-289 2213 - 92-289 2222   SW
 92-289 2224 - 92-289 2255   MS
 92-289 2255 - 92-289 2310   MS/SW
 92-289 2310 - 92-290 0020   SW
 92-290 0028 - 92-290 0100   MS
 92-290 0102 - 92-290 0132   SW/BS
 92-290 0135 - 92-291 0320   MS
 92-291 0320 - 92-291 0540   MS/SW
 92-291 0548 - 92-291 1025   MS
 92-291 1025 - 92-291 1138   MS/SW
 92-291 1140 - 92-291 1220   MS
 92-291 1220 - 92-291 1230   SW/MS
 92-291 1235 - 92-291 1415   MS         +Bz spike, 1410
 92-291 1418 - 92-291 1422   SW/MS
 92-291 1425 - 92-291 1630   MS
 92-291 1630 - 92-291 1730   Gap
 92-291 1735 - 92-291 1920   MS
 92-291 1925 - 92-291 2042   BL/MG
 92-291 2045 - 92-292 1330   MG
 92-292 1330 - 92-292 1340   BL/MG
 92-292 1340 - 92-292 1405   BL         n down, EPIC dropout
 92-292 1405 - 92-292 1440   BL/MG
 92-292 1440 - 92-292 1940   MG
 92-292 2002 - 92-292 2025   PS
 92-292 2027 - 92-292 2040   BL
 92-292 2042 - 92-292 2051   PS         sunward flow
 92-292 2051 - 92-292 2110   BL/PS
 92-292 2110 - 92-292 2150   MG
 92-292 2205 - 92-292 2230   BL/PS
 92-292 2230 - 92-292 2325   PS
 92-292 2330 - 92-293 0145   MG
 92-293 0150 - 92-293 0240   PS         field rotate
 92-293 0250 - 92-293 1410   PS
 92-293 1420 - 92-293 1610   BL
 92-293 1620 - 92-293 2330   PS
 92-293 2350 - 92-294 0215   BL
 92-294 0225 - 92-294 0545   PS         B=0 @ 0405
 92-294 0550 - 92-294 0640   BL
 92-294 0650 - 92-294 1008   PS
 92-294 1010 - 92-294 1122   LB
 92-294 1125 - 92-294 1300   LB/PS
 92-294 1300 - 92-294 1338   BL
 92-294 1340 - 92-294 1400   LB
 92-294 1400 - 92-294 1425   LB/PS
 92-294 1425 - 92-294 1905   PS
 92-294 1910 - 92-294 1920   LB
 92-294 1922 - 92-294 2005   PS
 92-294 2010 - 92-294 2040   LB
 92-294 2040 - 92-294 2115   PS
 92-294 2120 - 92-294 2140   LB
 92-294 2140 - 92-294 2150   LB/PS
 92-294 2150 - 92-294 2215   PS
 92-294 2215 - 92-294 2330   Gap
 92-294 2330 - 92-295 0020   PS/BL
 92-295 0020 - 92-295 0250   BL
 92-295 0250 - 92-295 0330   LB/BL
 92-295 0330 - 92-295 0520   PS
 92-295 0530 - 92-295 0602   LB
 92-295 0605 - 92-295 0615   FF         Plasmoid?
 92-295 0620 - 92-295 0750   LB
 92-295 0755 - 92-295 0810   PS?        tlwd PS?  No B up
 92-295 0810 - 92-295 0845   BL
 92-295 0850 - 92-295 1510   PS
 92-295 1510 - 92-295 1530   PS/BL
 92-295 1530 - 92-295 1640   PS
 92-295 1650 - 92-295 1725   LB
 92-295 1730 - 92-295 1755   LB/PS
 92-295 1755 - 92-295 1905   LB
 92-295 1910 - 92-295 1925   PS
 92-295 1932 - 92-295 2014   LB
 92-295 2016 - 92-295 2120   PS
 92-295 2135 - 92-295 2150   FF
 92-295 2152 - 92-295 2210   LB
 92-295 2212 - 92-295 2218   FF
 92-295 2220 - 92-295 2305   LB/BL
 92-295 2310 - 92-296 0025   BL
 92-296 0040 - 92-296 0130   LB
 92-296 0130 - 92-296 0145   Gap
 92-296 0145 - 92-296 0238   LB
 92-296 0240 - 92-296 0305   PS
 92-296 0310 - 92-296 0330   LB/BL
 92-296 0330 - 92-296 0350   FF         Sunwd
 92-296 0350 - 92-296 0410   LB/BL
 92-296 0415 - 92-296 0424   PS
 92-296 0430 - 92-296 0510   BL
 92-296 0515 - 92-296 0920   LB
 92-296 0925 - 92-296 1020   PS
 92-296 1025 - 92-296 1040   LB
 92-296 1045 - 92-296 1130   LB/BL
 92-296 1130 - 92-296 1152   PS
 92-296 1155 - 92-296 1340   BL
 92-296 1340 - 92-296 1410   BL/LB
 92-296 1410 - 92-296 1510   PS
 92-296 1515 - 92-296 1605   BL
 92-296 1610 - 92-296 1700   LB
 92-296 1700 - 92-296 1722   BL
 92-296 1725 - 92-296 1820   LB
 92-296 1822 - 92-296 1840   BL/PS
 92-296 1852 - 92-296 1914   LB
 92-296 1915 - 92-296 2000   PS
 92-296 2000 - 92-296 2012   FF
 92-296 2015 - 92-296 2100   LB/BL
 92-296 2100 - 92-296 2230   LB
 92-296 2235 - 92-296 2245   PS?
 92-296 2250 - 92-297 0550   LB
 92-297 0550 - 92-297 0655   LB/PS
 92-297 0700 - 92-297 0755   LB
 92-297 0800 - 92-297 0840   LB/PS
 92-297 0843 - 92-297 0900   PS
 92-297 0900 - 92-297 0938   LB/PS
 92-297 0940 - 92-297 1110   LB
 92-297 1115 - 92-297 1130   FF
 92-297 1135 - 92-297 1330   LB
 92-297 1330 - 92-297 1425   LB/PS
 92-297 1428 - 92-297 1450   LB
 92-297 1500 - 92-297 1542   PS
 92-297 1542 - 92-297 1552   LB/PS
 92-297 1555 - 92-297 1610   PS
 92-297 1610 - 92-297 1740   PS/LB
 92-297 1745 - 92-297 1810   PS
 92-297 1812 - 92-297 1835   LB
 92-297 1840 - 92-297 1905   PS
 92-297 1905 - 92-297 1933   LB/PS
 92-297 1935 - 92-297 2110   PS         B low @ 2100
 92-297 2110 - 92-297 2155   PS/BL
 92-297 2158 - 92-297 2218   LB
 92-297 2218 - 92-297 2235   FF
 92-297 2240 - 92-298 0032   LB
 92-298 0035 - 92-298 0110   PS
 92-298 0155 - 92-298 0740   LB
 92-298 0742 - 92-298 0757   PS
 92-298 0800 - 92-298 0825   LB
 92-298 0830 - 92-298 1040   LB/PS
 92-298 1040 - 92-298 1900   LB
 92-298 1905 - 92-298 1917   BL         Tailward
 92-298 1920 - 92-298 2008   BL         Earthward
 92-298 2015 - 92-298 2042   LB
 92-298 2042 - 92-298 2110   LB/BL
 92-298 2110 - 92-298 2235   LB/BL
 92-298 2240 - 92-298 2315   PS
 92-298 2315 - 92-299 0005   BL
 92-299 0008 - 92-299 0030   LB
 92-299 0038 - 92-299 0322   BL
 92-299 0322 - 92-299 0430   LB/BL
 92-299 0430 - 92-299 0510   Gap
 92-299 0510 - 92-299 0530   BL
 92-299 0532 - 92-299 0545   LB
 92-299 0550 - 92-299 0610   PS?
 92-299 0612 - 92-299 0750   BL
 92-299 0800 - 92-299 1130   LB
 92-299 1132 - 92-299 1148   PS         B low @ 1140
 92-299 1150 - 92-299 1510   BL
 92-299 1512 - 92-299 1518   LB
 92-299 1520 - 92-299 1542   BL
 92-299 1545 - 92-299 1620   LB
 92-299 1623 - 92-299 1725   PS
 92-299 1730 - 92-299 2045   BL
 92-299 2050 - 92-299 2330   LB
 92-299 2335 - 92-300 0000   PS
 92-300 0000 - 92-300 0028   LB
 92-300 0035 - 92-300 0055   BL         EPIC to -x
 92-300 0058 - 92-300 0105   PS
 92-300 0110 - 92-300 0250   BL         EPIC to -x
 92-300 0252 - 92-300 0308   LB
 92-300 0310 - 92-300 0355   BL
 92-300 0405 - 92-300 0445   LB
 92-300 0450 - 92-300 0515   PS
 92-300 0515 - 92-300 0525   BL/PS
 92-300 0525 - 92-300 1025   PS
 92-300 1030 - 92-300 1120   LB
 92-300 1125 - 92-300 1210   LB/PS
 92-300 1215 - 92-300 1235   LB
 92-300 1235 - 92-300 1318   LB/PS
 92-300 1320 - 92-300 1415   LB
 92-300 1430 - 92-300 1510   PS
 92-300 1515 - 92-300 1710   LB/PS
 92-300 1715 - 92-300 1820   PS
 92-300 1840 - 92-300 2025   BL
 92-300 2030 - 92-300 2050   FF         All Energies!
 92-300 2055 - 92-300 2230   BL
 92-300 2240 - 92-301 0205   BL
 92-301 0205 - 92-301 0220   BL/PS
 92-301 0220 - 92-301 0320   BL
 92-301 0320 - 92-301 0330   MS
 92-301 0330 - 92-301 0410   BL
 92-301 0410 - 92-301 0438   MS
 92-301 0452 - 92-301 0520   MS
 92-301 0539 - 92-301 0555   MS
 92-301 0555 - 92-301 0702   BL
 92-301 0708 - 92-301 0720   MS
 92-301 0720 - 92-301 0730   BL/MS
 92-301 0730 - 92-301 0845   MS
 92-301 0848 - 92-301 1110   BL
 92-301 1120 - 92-301 1135   MS
 92-301 1135 - 92-301 1157   BL/MS
 92-301 1157 - 92-301 1220   MS
 92-301 1220 - 92-301 1735   BL
 92-301 1740 - 92-301 1805   BL/MS
 92-301 1810 - 92-301 2135   MS
 92-301 2140 - 92-301 2149   PS
 92-301 2150 - 92-301 2240   BL
 92-301 2247 - 92-301 2312   PS
 92-301 2315 - 92-301 2335   LB/PS
 92-301 2342 - 92-302 0435   BL
 92-302 0435 - 92-302 0515   LB/BL
 92-302 0520 - 92-302 0730   BL
 92-302 0730 - 92-302 0755   Gap
 92-302 0800 - 92-302 1040   BL
 92-302 1042 - 92-302 1048   FF         B rotation, EPIC
 92-302 1100 - 92-302 1244   BL
 92-302 1248 - 92-302 1257   FF         B rotation, EPIC
 92-302 1300 - 92-302 1400   BL
 92-302 1400 - 92-302 1415   LB/BL
 92-302 1415 - 92-302 1430   FF         B rotation, EPIC, low B
 92-302 1435 - 92-302 1500   BL
 92-302 1500 - 92-302 2230   Gap
 92-302 2230 - 92-302 2250   BL
