 MGST(6/80)  NOV 5,6 SCALAR + FINE ATT.   FORMAT(2I3,6F11.4)                    
 14  6     1.1511    -0.5763     0.0        0.0        0.0        0.0           
 14  7    -0.4207    -0.0886     0.0        0.0        0.0        0.0           
 14  8     0.4438     0.8332     0.0        0.0        0.0        0.0           
 14  9    -0.5596     0.1782     0.0        0.0        0.0        0.0           
 14 10     0.1910     0.7747     0.0        0.0        0.0        0.0           
 14 11     0.1321     0.4524     0.0        0.0        0.0        0.0           
 14 12     0.3599    -0.0995     0.0        0.0        0.0        0.0           
 14 13    -0.3901    -0.0499     0.0        0.0        0.0        0.0           
 14 14    -0.0220    -0.1485     0.0        0.0        0.0        0.0           
                                                                                
      20.3506    -.57065   -.403                                                
